LOCATION,TIME,Value
AUS,2004,11
AUS,2008,12
AUS,2012,11
AUS,2015,13
AUS,2018,16
AUS,2019,14
AUS,2020,14
AUS,2021,15
AUS,2022,15
AUT,2004,9
AUT,2008,16
AUT,2012,3
AUT,2015,3
AUT,2018,3
AUT,2019,3
AUT,2020,3
AUT,2021,3
AUT,2022,3
BEL,2004,8
BEL,2008,13
BEL,2012,13
BEL,2015,13
BEL,2018,12
BEL,2019,12
BEL,2020,12
BEL,2021,12
BEL,2022,12
CAN,2004,23
CAN,2008,20
CAN,2012,24
CAN,2015,24
CAN,2018,16
CAN,2019,11
CAN,2020,12
CAN,2021,12
CAN,2022,14
CZE,2004,24
CZE,2008,21
CZE,2012,48
CZE,2015,28
CZE,2018,20
CZE,2019,18
CZE,2020,22
CZE,2021,23
CZE,2022,23
DNK,2004,12
DNK,2008,12
DNK,2012,12
DNK,2015,11
DNK,2018,11
DNK,2019,11
DNK,2020,11
DNK,2021,11
DNK,2022,11
FIN,2004,22
FIN,2008,20
FIN,2012,20
FIN,2015,20
FIN,2018,16
FIN,2019,16
FIN,2020,14
FIN,2021,14
FIN,2022,11
FRA,2004,9
FRA,2008,7
FRA,2012,7
FRA,2015,7
FRA,2018,7
FRA,2019,7
FRA,2020,7
FRA,2021,8
FRA,2022,8
DEU,2004,6
DEU,2008,13
DEU,2012,11
DEU,2015,6
DEU,2018,5
DEU,2019,1
DEU,2020,1
DEU,2021,1
DEU,2022,1
GRC,2004,5
GRC,2008,4
GRC,2012,5
GRC,2015,5
GRC,2018,6
GRC,2019,5
GRC,2020,5
GRC,2021,5
GRC,2022,5
HUN,2004,6
HUN,2008,5
HUN,2012,4
HUN,2015,6
HUN,2018,16
HUN,2019,10
HUN,2020,9
HUN,2021,9
HUN,2022,6
ISL,2004,15
ISL,2008,6
ISL,2012,7
ISL,2015,6
ISL,2018,6
ISL,2019,6
ISL,2020,5
ISL,2021,5
ISL,2022,5
IRL,2004,29
IRL,2008,24
IRL,2012,25
IRL,2015,24
IRL,2018,22
IRL,2019,23
IRL,2020,20
IRL,2021,21
IRL,2022,22
ITA,2004,0
ITA,2008,0
ITA,2012,0
ITA,2015,6
ITA,2018,1
ITA,2019,0
ITA,2020,0
ITA,2021,0
ITA,2022,0
JPN,2004,14
JPN,2008,14
JPN,2012,20
JPN,2015,19
JPN,2018,14
JPN,2019,14
JPN,2020,8
JPN,2021,6
JPN,2022,6
KOR,2004,12
KOR,2008,5
KOR,2012,0
KOR,2015,5
KOR,2018,4
KOR,2019,4
KOR,2020,4
KOR,2021,4
KOR,2022,4
LUX,2004,4
LUX,2008,5
LUX,2012,12
LUX,2015,13
LUX,2018,3
LUX,2019,3
LUX,2020,3
LUX,2021,3
LUX,2022,3
NLD,2004,21
NLD,2008,8
NLD,2012,20
NLD,2015,21
NLD,2018,14
NLD,2019,12
NLD,2020,13
NLD,2021,13
NLD,2022,15
NZL,2004,38
NZL,2008,12
NZL,2012,13
NZL,2015,20
NZL,2018,26
NZL,2019,32
NZL,2020,32
NZL,2021,32
NZL,2022,32
NOR,2004,23
NOR,2008,16
NOR,2012,14
NOR,2015,6
NOR,2018,7
NOR,2019,7
NOR,2020,7
NOR,2021,7
NOR,2022,7
POL,2004,21
POL,2008,20
POL,2012,19
POL,2015,20
POL,2018,13
POL,2019,6
POL,2020,8
POL,2021,8
POL,2022,7
PRT,2004,4
PRT,2008,4
PRT,2012,5
PRT,2015,5
PRT,2018,5
PRT,2019,5
PRT,2020,4
PRT,2021,4
PRT,2022,4
SVK,2004,15
SVK,2008,24
SVK,2012,6
SVK,2015,6
SVK,2018,7
SVK,2019,8
SVK,2020,10
SVK,2021,9
SVK,2022,9
ESP,2004,8
ESP,2008,7
ESP,2012,7
ESP,2015,5
ESP,2018,5
ESP,2019,12
ESP,2020,8
ESP,2021,7
ESP,2022,7
SWE,2004,9
SWE,2008,6
SWE,2012,5
SWE,2015,5
SWE,2018,5
SWE,2019,5
SWE,2020,4
SWE,2021,5
SWE,2022,5
CHE,2004,27
CHE,2008,22
CHE,2012,18
CHE,2015,14
CHE,2018,17
CHE,2019,18
CHE,2020,16
CHE,2021,18
CHE,2022,20
GBR,2004,26
GBR,2008,22
GBR,2012,23
GBR,2015,24
GBR,2018,22
GBR,2019,22
GBR,2020,23
GBR,2021,23
GBR,2022,23
USA,2004,31
USA,2008,31
USA,2012,30
USA,2015,27
USA,2018,29
USA,2019,29
USA,2020,27
USA,2021,14
USA,2022,29
BGR,2008,12
BGR,2012,13
BGR,2015,10
BGR,2018,8
BGR,2019,8
BGR,2020,7
BGR,2021,6
BGR,2022,0
CHL,2012,0
CHL,2015,0
HRV,2015,3
HRV,2018,3
HRV,2019,3
HRV,2020,3
HRV,2021,3
HRV,2022,5
CYP,2018,4
CYP,2019,23
CYP,2020,23
CYP,2021,23
CYP,2022,23
EST,2008,2
EST,2012,5
EST,2015,4
EST,2018,4
EST,2019,6
EST,2020,1
EST,2021,0
EST,2022,0
ISR,2008,14
ISR,2012,14
ISR,2015,11
ISR,2018,9
ISR,2019,10
ISR,2020,10
ISR,2021,10
LVA,2008,10
LVA,2012,11
LVA,2015,15
LVA,2018,12
LVA,2019,0
LVA,2020,0
LVA,2021,0
LVA,2022,0
LTU,2008,10
LTU,2012,14
LTU,2015,14
LTU,2018,12
LTU,2019,9
LTU,2020,10
LTU,2021,9
LTU,2022,8
MLT,2008,21
MLT,2012,22
MLT,2015,0
MLT,2018,0
MLT,2019,0
MLT,2020,0
MLT,2021,0
MLT,2022,0
ROU,2008,0
ROU,2012,0
ROU,2015,0
ROU,2018,15
ROU,2019,13
ROU,2020,12
ROU,2021,11
ROU,2022,10
SVN,2008,10
SVN,2012,11
SVN,2015,10
SVN,2018,10
SVN,2019,10
SVN,2020,10
SVN,2021,11
SVN,2022,8
OECD,2004,16
OECD,2008,14
OECD,2012,13
OECD,2015,12
OECD,2018,11
OECD,2019,11
OECD,2020,10
OECD,2021,10
OECD,2022,10